SC  ,F,SUND,    ,CSCI060  HM ,2016,FA  ,UND
SC  ,F,SECO,,CSCI060  HM ,2017,SP  ,ECO
SC  ,F,SNEU,,CSCI060  HM ,2017,SP  ,NEU
SC  ,F,SUND,,CSCI060  HM ,2017,SP  ,UND
SC  ,F,HCSI,,CSCI060  HM ,2017,SP  ,CSI
SC  ,F,HCSI,,CSCI060  HM ,2017,SP  ,CSI
SC  ,F,HCSI,,CSCI060  HM ,2017,SP  ,CSI
SC  ,F,SUND,,CSCI060  HM ,2017,SP  ,UND
SC  ,F,SUND,    ,CSCI060  HM ,2017,FA  ,UND
SC  ,F,SUND,,CSCI060  HM ,2017,FA  ,UND
SC  ,F,SUND,,CSCI060  HM ,2017,FA  ,UND
SC  ,F,SUND,,CSCI060  HM ,2017,FA  ,UND
SC  ,F,SUND,,CSCI060  HM ,2017,FA  ,UND
SC  ,F,SUND,,CSCI060  HM ,2017,FA  ,UND
SC  ,F,HCSI,,CSCI060  HM ,2017,SP  ,CSI
CM  ,M,HCSI,    ,CSCI060  HM ,2009,FA  ,CSI
CM  ,M,MCHE,    ,CSCI060  HM ,2009,SP  ,CHE
CM  ,M,MECO,    ,CSCI060  HM ,2009,SP  ,ECO
CM  ,M,HCSI,    ,CSCI060  HM ,2012,SP  ,CSI
CM  ,F,MNEU,    ,CSCI060  HM ,2012,SP  ,NEU
CM  ,M,MPPE,    ,CSCI060  HM ,2012,SP  ,PPE
CM  ,M,MECO,    ,CSCI060  HM ,2011,FA  ,ECO
CM  ,F,MECO,    ,CSCI060  HM ,2013,SP  ,ECO
CM  ,F,MNEU,PCSI,CSCI060  HM ,2012,SP  ,NEU
CM  ,M,MSMG,    ,CSCI060  HM ,2014,SP  ,SMG
CM  ,M,PCSI,    ,CSCI060  HM ,2011,SP  ,CSI
CM  ,F,ME&E,    ,CSCI060  HM ,2011,SP  ,E&E
CM  ,F,MSMG,    ,CSCI060  HM ,2014,SP  ,SMG
CM  ,M,MECO,    ,CSCI060  HM ,2014,SP  ,ECO
CM  ,M,MSMG,    ,CSCI060  HM ,2014,SP  ,SMG
CM  ,F,MECO,    ,CSCI060  HM ,2014,SP  ,ECO
